Permission Number,Name,Activity Type Description,Document URL,Site Address,Site Postcode,Site Grid Reference,Local Authority,Permission Date
EPR/ZP3026SN,WHITE ROSE FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"PEACH TREE FARM, Peach Tree Farm, PATRINGTON ROAD, HULL, EAST RIDING OF YORKSHIRE, HU12 0AD",HU12 0AD,TA2783023640,East Riding of Yorkshire,2025-02-03
EPR/WP3024SG,Saunders House Farm Limited,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/dl11-7eb-saunders-house-farm-ltd-environmental-permit-issued-eprwp3024sga001,"Saunders House Farm, Saunders House Farm, Norbeck Bank, Rokeby, Barningham, County Durham, DL11 7EB",DL11 7EB,NZ0882111661,County Durham,2024-12-03
EPR/SP3424SF,Ford Farms (Suffolk) Ltd,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Red House Farm, Red House Farm, Eye, IP23 7NW",IP23 7NW,TM1736374950,Mid Suffolk,2024-11-12
EPR/XP3622SV,A.R. CRAVEN FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/pe22-7nw-ar-craven-farms-limited-environmental-permit-issued-eprxp3622sva001,"Hameringham Poultry Site, Hameringham Poultry Site, Chapel Lane, Low Hameringham, Horncastle, Lincolnshire, PE22 7NW",PE22 7NW,TF3155566082,East Lindsey,2024-08-06
EPR/ZP3024SH,CARKIN MOOR FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/dl11-7pa-carkin-moor-farm-eggs-limited-environmental-permit-issued-eprzp3024sha001,"Carkin Moor Farm, Carkin Moor Farm, Richmond, DL11 7PA",DL11 7PA,NZ1651108670,North Yorkshire,2024-06-03
EPR/XP3624SD,DINSDALE FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/yo61-3lw-dinsdale-farming-limited-environmental-permit-issued-eprxp3624sda001,"Fox Hills Farm, Hag Lane, Raskelf, Yorkshire, YO61 3LW",YO61 3LW,SE4792369568,North Yorkshire,2024-02-12
EPR/JP3542YK,A J Hazard Farms LLP,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/le14-2qw-aj-hazard-farms-llp-environmental-permit-issued-eprjp3542yka001,"Rudfield Farm, Rudfield Farm, Stygate Lane, Somerby, Pickwell, Leicestershire, LE14 2QW",LE14 2QW,SK8022112314,Melton,2023-11-06
EPR/AP3147JH,MERCER FARMING LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/st14-8rw-mercer-farming-limited-environmental-permit-issued-eprap3147jha001,"COPPICE FARM, Coppice Farm, HOBB LANE, UTTOXETER, EAST STAFFORDSHIRE, ST14 8RG",ST14 8RG,SK0838529015,East Staffordshire,2023-10-31
EPR/AP3329SB,"Hill House Farm (Alistair Young, Susan Young and James Young)","Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hr8-2le-alistair-young-susan-young-and-james-young-environmental-permit-issued-eprap3329sba001,"Hill House, Hill House Farm, Ross Road, Ledbury, Herefordshire, HR8 2LE",HR8 2LE,SO6909936420,"Herefordshire, County of",2023-08-14
EPR/JP3442QJ,TOFT FARM GROWERS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Toft Farm, Toft Farm Poultry Unit, Levedale Road, Dunston Heath, Staffordshire, ST18 9LH",ST18 9LH,SJ9040317952,South Staffordshire,2023-08-10
EPR/KP3239ED,BROMTREES FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hr7-4hz-bromtrees-farm-limited-environmental-permit-issued-eprkp3239eda001,"Bromtrees Hall Farm, Bromtrees Hall, Stoke Lacy, Bromyard, Herefordshire, HR7 4HZ",HR7 4HZ,SO6428079830,"Herefordshire, County of",2022-12-20
EPR/BP3948QC,OLLERTON PARK FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/cw5-8aj-ollerton-park-farm-limited-environmental-permit-issued-eprbp3948qca001,"Daisy Bank Farm, Daisy Bank Farm, Mickley Hall Lane, Broomhall, Cheshire, CW5 8AJ",CW5 8AJ,SJ6347048390,Cheshire East,2022-11-17
EPR/HP3742QS,I & M POULTRY FARM(MIDLAND) LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Three Angels Poultry Farm, Three Angels Farm EPR/YP3534JF, Watling Street, Ivertsey Bank, Staffordshire, ST19 9QT",ST19 9QT,SJ8360011050,South Staffordshire,2022-10-05
EPR/GP3347JD,A&Z FARM (LINCOLN) LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Rowston Field Farm, Rowston Field Farm Poultry Unit, Fen Road, Digby, Lincolnshire, LN4 3NG",LN4 3NG,TF1020056140,North Kesteven,2022-09-26
EPR/AP3246QW,SUTHERLAND FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ln5-0qy-crofty-growers-limited-environmental-permit-issued-eprap3246qwa001,"Leadenham Farm Poultry Unit, Leadenham Farm Poultry Unit, Lemon Wong Lane, Leadenham, Lincolnshire, Lincolnshire, LN5 0QY",LN5 0QY,SK9243031930,North Kesteven,2022-08-08
EPR/PP3500MA,CORBETT FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/wr6-6lq-corbett-farms-limited-environmental-permit-eprpp3500maa001,"Birch Tree Poultry Site, Birch Tree Poultry Farm - EPR/PP3500MA, Little Witley, Sankyns Green, Worcestershire, WR6 6LQ",WR6 6LQ,SO7899065240,Malvern Hills,2022-07-10
